Language_Name,Lexeme,Meaning,Cognate_Set,Latitude,Longitude,Subfamily
Proto-Uralic*,*tuli̮,fire,a,NA,NA,(reconstr.)
South Saami,dålle,fire,a,62.8801,13.7006,Saami
Ume Saami,dålla,fire,a,64.6383,18.646,Saami
Pite Saami,dållå,fire,a,66.4011,17.4261,Saami
North Saami,dolla,fire,a,68.725,22.1113,Saami
Inari Saami,tulla,fire,a,69.4229,27.8658,Saami
Skolt Saami,toll,fire,a,68.8326,29.7204,Saami
Kildin Saami,tōll,fire,a,68.2158,35.8348,Saami
Standard Finnish,tuli,fire,a,64.7628,25.5577,Finnic
Karelian Proper,tuli,fire,a,65.1691,30.8655,Finnic
Veps,lʹämoi,fire,b,60.3353,34.7865,Finnic
Veps,tulʹi,fire,a,60.3353,34.7865,Finnic
Ingrian,tuli,fire,a,59.47403,29.71145,Finnic
Western Votic,tuli,fire,a,NA,NA,Finnic
Standard Estonian,tuli,fire,a,58.55,25.82,Finnic
Võro South Estonian,tuli,fire,a,57.85,27,Finnic
Courland Livonian,tuʾlʹ,fire,a,NA,NA,Finnic
Erzya,tol,fire,a,52.8548,45.3901,Mordvin
Meadow Mari,tul,fire,a,55.8307,48.405,Mari
Komi-Zyrian,bi,fire,c,64.0527,54.946,Permic
Komi-Permyak,bi,fire,c,59.6602,54.7959,Permic
Udmurt,ti̮l,fire,a,56.12921,52.63548,Permic
Hungarian,tűz,fire,d,46.9068585714,19.6555271429,Ugric
Sosva Mansi,nāj,fire,f,NA,NA,Ugric
Sosva Mansi,ulʹa,fire,e,NA,NA,Ugric
Vakh-Vasyugan Khanty,tö̆ɣət,fire,d,60.10378,79.873651,Ugric
Nganasan,tuj,fire,a,73.1354,86.2106,Samoyed
Tundra Nenets,tu,fire,a,66.1775,71.0234,Samoyed
Selkup,tǖ,fire,a,65.7035,82.4441,Samoyed
Proto-Uralic*,*ńäri ?,nose,c,NA,NA,(reconstr.)
South Saami,njuenie,nose,a,62.8801,13.7006,Saami
Ume Saami,njüennee,nose,a,64.6383,18.646,Saami
Pite Saami,njuonne,nose,a,66.4011,17.4261,Saami
North Saami,njunni,nose,a,68.725,22.1113,Saami
Inari Saami,njune,nose,a,69.4229,27.8658,Saami
Skolt Saami,njuuʹnn,nose,a,68.8326,29.7204,Saami
Kildin Saami,njunn’,nose,a,68.2158,35.8348,Saami
Standard Finnish,nenä,nose,a,64.7628,25.5577,Finnic
Karelian Proper,nenä,nose,a,65.1691,30.8655,Finnic
Veps,ńena,nose,a,60.3353,34.7865,Finnic
Ingrian,nenä,nose,a,59.47403,29.71145,Finnic
Western Votic,nenä,nose,a,NA,NA,Finnic
Standard Estonian,nina,nose,a,58.55,25.82,Finnic
Võro South Estonian,nõna,nose,a,57.85,27,Finnic
Courland Livonian,nanà,nose,a,NA,NA,Finnic
Erzya,sudo,nose,b,52.8548,45.3901,Mordvin
Meadow Mari,ner,nose,c,55.8307,48.405,Mari
Komi-Zyrian,ni̮r,nose,c,64.0527,54.946,Permic
Komi-Permyak,ni̮r,nose,c,59.6602,54.7959,Permic
Udmurt,ni̮r,nose,c,56.12921,52.63548,Permic
Hungarian,orr,nose,d,46.9068585714,19.6555271429,Ugric
Sosva Mansi,ńol,nose,e,NA,NA,Ugric
Vakh-Vasyugan Khanty,ńŏl,nose,e,60.10378,79.873651,Ugric
Nganasan,ŋüŋkə,nose,g,73.1354,86.2106,Samoyed
Tundra Nenets,piya,nose,f,66.1775,71.0234,Samoyed
Selkup,pućə,nose,f,65.7035,82.4441,Samoyed
Proto-Uralic*,*meni-,go,a,NA,NA,(reconstr.)
South Saami,juhtedh,go,h,62.8801,13.7006,Saami
South Saami,mïnnedh,go,a,62.8801,13.7006,Saami
Ume Saami,mannat,go,a,64.6383,18.646,Saami
Pite Saami,mannat,go,a,66.4011,17.4261,Saami
North Saami,mannat,go,a,68.725,22.1113,Saami
Inari Saami,moonnađ,go,a,69.4229,27.8658,Saami
Skolt Saami,mõõnnâd,go,a,68.8326,29.7204,Saami
Kildin Saami,mēnne,go,a,68.2158,35.8348,Saami
Standard Finnish,mennä,go,a,64.7628,25.5577,Finnic
Karelian Proper,männä,go,a,65.1691,30.8655,Finnic
Veps,mändä,go,a,60.3353,34.7865,Finnic
Ingrian,männä,go,a,59.47403,29.71145,Finnic
Western Votic,lähtemä,go,b,NA,NA,Finnic
Western Votic,menemä,go,a,NA,NA,Finnic
Standard Estonian,lähe- ~ läi- ~ läk-,go,b,58.55,25.82,Finnic
Standard Estonian,minna,go,a,58.55,25.82,Finnic
Võro South Estonian,lätt,go,b,57.85,27,Finnic
Võro South Estonian,minemä,go,a,57.85,27,Finnic
Courland Livonian,lǟʾdə,go,b,NA,NA,Finnic
Erzya,molʹems,go,d,52.8548,45.3901,Mordvin
Meadow Mari,kajem,go,e,55.8307,48.405,Mari
Meadow Mari,mijem,go,a,55.8307,48.405,Mari
Komi-Zyrian,munni̮,go,a,64.0527,54.946,Permic
Komi-Permyak,munni̮,go,a,59.6602,54.7959,Permic
Udmurt,mi̮ni̮ni̮,go,a,56.12921,52.63548,Permic
Hungarian,megy,go,a,46.9068585714,19.6555271429,Ugric
Sosva Mansi,jōmi,go,f,NA,NA,Ugric
Sosva Mansi,mīni ~ mini,go,a,NA,NA,Ugric
Vakh-Vasyugan Khanty,jǝl-,go,c,60.10378,79.873651,Ugric
Vakh-Vasyugan Khanty,mən-,go,a,60.10378,79.873651,Ugric
Nganasan,mi̮nsi̮,go,a,73.1354,86.2106,Samoyed
Tundra Nenets,myincy°,go,a,66.1775,71.0234,Samoyed
Selkup,quə̑n-,go,g,65.7035,82.4441,Samoyed
Proto-Uralic*,*weti,water,a,NA,NA,(reconstr.)
South Saami,tjaetsie,water,b,62.8801,13.7006,Saami
Ume Saami,tjaahtsee,water,b,64.6383,18.646,Saami
Pite Saami,tjáhtse,water,b,66.4011,17.4261,Saami
North Saami,čáhci,water,b,68.725,22.1113,Saami
Inari Saami,čääci,water,b,69.4229,27.8658,Saami
Skolt Saami,čääʹcc,water,b,68.8326,29.7204,Saami
Kildin Saami,čāʒ’,water,b,68.2158,35.8348,Saami
Standard Finnish,vesi,water,a,64.7628,25.5577,Finnic
Karelian Proper,vesi,water,a,65.1691,30.8655,Finnic
Veps,vezi,water,a,60.3353,34.7865,Finnic
Ingrian,vezi,water,a,59.47403,29.71145,Finnic
Western Votic,vesi,water,a,NA,NA,Finnic
